Var1,Var2
738933.583333333,1
738933.586805556,1
738933.590277778,1
738933.59375,1
738933.597222222,2
738933.600694444,2
738933.604166667,1
738933.607638889,2
738933.611111111,1
738933.614583333,1
738933.618055556,1
738933.621527778,1
738933.625,1
738933.628472222,1
738933.631944444,1
738933.635416667,1
738933.638888889,2
738933.642361111,2
738933.645833333,2
738933.649305556,2
738933.652777778,1
738933.65625,2
738933.659722222,2
738933.663194444,1
738933.666666667,1
738933.670138889,1
738933.673611111,1
738933.677083333,1
738933.680555556,1
738933.684027778,1
738933.6875,1
738933.690972222,1
738933.694444444,1
738933.697916667,1
738933.701388889,2
738933.704861111,1
738933.708333333,2
738933.711805556,1
738933.715277778,1
738933.71875,3
738933.722222222,1
738933.725694444,1
738933.729166667,1
738933.732638889,1
738933.736111111,1
738933.739583333,1
738933.743055556,1
738933.746527778,3
738933.75,1
738933.753472222,3
738933.756944444,1
738933.760416667,1
738933.763888889,1
738933.767361111,1
738933.770833333,1
738933.774305556,1
738933.777777778,1
738933.78125,1
738933.784722222,1
738933.788194444,3
738933.791666667,1
738933.795138889,1
738933.798611111,1
738933.802083333,3
738933.805555556,1
738933.809027778,1
738933.8125,1
738933.815972222,1
738933.819444444,1
738933.822916667,1
738933.826388889,1
738933.829861111,1
738933.833333333,1
738933.836805556,1
738933.840277778,1
738933.84375,1
738933.847222222,1
738933.850694444,1
738933.854166667,1
738933.857638889,1
738933.861111111,0
738933.864583333,1
738933.868055556,1
738933.871527778,1
738933.875,1
738933.878472222,1
738933.881944444,1
738933.885416667,1
738933.888888889,1
738933.892361111,1
738933.895833333,1
738933.899305556,1
738933.902777778,1
738933.90625,1
738933.909722222,1
738933.913194444,1
738933.916666667,1
738933.920138889,1
738933.923611111,1
738933.927083333,1
738933.930555556,1
738933.934027778,1
738933.9375,1
738933.940972222,1
738933.944444444,1
738933.947916667,1
738933.951388889,1
738933.954861111,1
738933.958333333,1
738933.961805556,1
738933.965277778,1
738933.96875,1
738933.972222222,1
738933.975694444,1
738933.979166667,1
738933.982638889,1
738933.986111111,2
738933.989583333,2
738933.993055556,2
738933.996527778,1
738934,3
738934.003472222,3
738934.006944444,3
738934.010416667,0
738934.013888889,3
738934.017361111,3
738934.020833333,3
738934.024305556,3
738934.027777778,3
738934.03125,3
738934.034722222,0
738934.038194444,0
738934.041666667,3
738934.045138889,3
738934.048611111,0
738934.052083333,0
738934.055555556,0
738934.059027778,0
738934.0625,0
738934.065972222,1
738934.069444444,1
738934.072916667,0
738934.076388889,0
738934.079861111,0
738934.083333333,0
738934.086805556,0
738934.090277778,0
738934.09375,0
738934.097222222,0
738934.100694444,0
738934.104166667,0
738934.107638889,0
738934.111111111,0
738934.114583333,0
738934.118055556,0
738934.121527778,0
738934.125,0
738934.128472222,0
738934.131944444,0
738934.135416667,0
738934.138888889,0
738934.142361111,0
738934.145833333,0
738934.149305556,0
738934.152777778,0
738934.15625,0
738934.159722222,0
738934.163194444,0
738934.166666667,0
738934.170138889,0
738934.173611111,0
738934.177083333,0
738934.180555556,0
738934.184027778,0
738934.1875,0
738934.190972222,0
738934.194444444,0
738934.197916667,0
738934.201388889,0
738934.204861111,0
738934.208333333,0
738934.211805556,0
738934.215277778,0
738934.21875,0
738934.222222222,0
738934.225694444,0
738934.229166667,0
738934.232638889,0
738934.236111111,0
738934.239583333,0
738934.243055556,0
738934.246527778,0
738934.25,0
738934.253472222,0
738934.256944444,0
738934.260416667,0
738934.263888889,0
738934.267361111,0
738934.270833333,0
738934.274305556,0
738934.277777778,0
738934.28125,0
738934.284722222,2
738934.288194444,2
738934.291666667,2
738934.295138889,2
738934.298611111,2
738934.302083333,2
738934.305555556,2
738934.309027778,2
738934.3125,2
738934.315972222,2
738934.319444444,2
738934.322916667,2
738934.326388889,2
738934.329861111,2
738934.333333333,2
738934.336805556,2
738934.340277778,2
738934.34375,2
738934.347222222,2
738934.350694444,2
738934.354166667,0
738934.357638889,2
738934.361111111,2
738934.364583333,2
738934.368055556,2
738934.371527778,2
738934.375,2
738934.378472222,2
738934.381944444,2
738934.385416667,2
738934.388888889,2
738934.392361111,2
738934.395833333,2
738934.399305556,2
738934.402777778,2
738934.40625,2
738934.409722222,2
738934.413194444,2
738934.416666667,2
738934.420138889,2
738934.423611111,2
738934.427083333,2
738934.430555556,2
738934.434027778,2
738934.4375,2
738934.440972222,2
738934.444444444,2
738934.447916667,2
738934.451388889,2
738934.454861111,2
738934.458333333,2
738934.461805556,2
738934.465277778,2
738934.46875,2
738934.472222222,2
738934.475694444,2
738934.479166667,2
738934.482638889,2
738934.486111111,2
738934.489583333,2
738934.493055556,2
738934.496527778,2
738934.5,2
738934.503472222,2
738934.506944444,2
738934.510416667,2
738934.513888889,2
738934.517361111,2
738934.520833333,2
738934.524305556,2
738934.527777778,2
738934.53125,2
738934.534722222,2
738934.538194444,2
738934.541666667,2
738934.545138889,2
738934.548611111,2
738934.552083333,2
738934.555555556,2
738934.559027778,2
738934.5625,2
738934.565972222,2
738934.569444444,2
738934.572916667,2
738934.576388889,2
738934.579861111,2
738934.583333333,2
738934.586805556,2
738934.590277778,2
738934.59375,2
738934.597222222,2
738934.600694444,2
738934.604166667,2
738934.607638889,2
738934.611111111,2
738934.614583333,2
738934.618055556,2
738934.621527778,2
738934.625,3
738934.628472222,2
738934.631944444,2
738934.635416667,2
738934.638888889,2
738934.642361111,2
738934.645833333,2
738934.649305556,2
738934.652777778,2
738934.65625,2
738934.659722222,2
738934.663194444,2
738934.666666667,2
738934.670138889,2
738934.673611111,2
738934.677083333,2
738934.680555556,2
738934.684027778,2
738934.6875,2
738934.690972222,2
738934.694444444,2
738934.697916667,2
738934.701388889,2
738934.704861111,2
738934.708333333,2
738934.711805556,2
738934.715277778,2
738934.71875,2
738934.722222222,2
738934.725694444,2
738934.729166667,2
738934.732638889,2
738934.736111111,2
738934.739583333,2
738934.743055556,2
738934.746527778,2
738934.75,2
738934.753472222,2
738934.756944444,2
738934.760416667,2
738934.763888889,2
738934.767361111,2
738934.770833333,2
738934.774305556,2
738934.777777778,2
738934.78125,2
738934.784722222,2
738934.788194444,2
738934.791666667,2
738934.795138889,2
738934.798611111,2
738934.802083333,2
738934.805555556,2
738934.809027778,2
738934.8125,2
738934.815972222,2
738934.819444444,2
738934.822916667,2
738934.826388889,2
738934.829861111,2
738934.833333333,2
738934.836805556,2
738934.840277778,2
738934.84375,2
738934.847222222,2
738934.850694444,2
738934.854166667,2
738934.857638889,2
738934.861111111,2
738934.864583333,2
738934.868055556,2
738934.871527778,2
738934.875,2
738934.878472222,2
738934.881944444,2
738934.885416667,2
738934.888888889,2
738934.892361111,2
738934.895833333,2
738934.899305556,2
738934.902777778,2
738934.90625,2
738934.909722222,2
738934.913194444,2
738934.916666667,2
738934.920138889,2
738934.923611111,2
738934.927083333,2
738934.930555556,2
738934.934027778,2
738934.9375,2
738934.940972222,2
738934.944444444,2
738934.947916667,2
738934.951388889,2
738934.954861111,2
738934.958333333,2
738934.961805556,2
738934.965277778,2
738934.96875,2
738934.972222222,2
738934.975694444,2
738934.979166667,2
738934.982638889,2
738934.986111111,2
738934.989583333,2
738934.993055556,2
738934.996527778,2
738935,2
738935.003472222,2
738935.006944444,2
738935.010416667,2
738935.013888889,2
738935.017361111,2
738935.020833333,2
738935.024305556,2
738935.027777778,2
738935.03125,2
738935.034722222,2
738935.038194444,2
738935.041666667,2
738935.045138889,2
738935.048611111,2
738935.052083333,2
738935.055555556,2
738935.059027778,2
738935.0625,2
